Country;EsperanzaVida;EscolaridadDuracion;EscolaridadPromedio;GNI
Switzerland;83.99;16.5;13.9;66933
Norway;83.23;18.2;13;64660
Iceland;82.68;19.2;13.8;55782
Hong Kong, China (SAR);85.47;17.3;12.2;62607
Australia;84.53;21.1;12.7;49238
Denmark;81.38;18.7;13;60365
Sweden;82.98;19.4;12.6;54489
Ireland;82;18.9;11.6;76169
Germany;80.63;17;14.1;54534
Netherlands;81.69;18.7;12.6;55979
Finland;82.04;19.1;12.9;49452
Singapore;82.75;16.5;11.9;90919
Belgium;81.88;19.6;12.4;52293
New Zealand;82.45;20.3;12.9;44057
Canada;82.66;16.4;13.8;46808
Liechtenstein;83.26;15.2;12.5;146830
Luxembourg;82.63;14.4;13;84649
United Kingdom;80.74;17.3;13.4;45225
Japan;84.78;15.2;13.4;42274
Korea (Republic of);83.7;16.5;12.5;44501
United States;77.2;16.3;13.7;64765
Israel;82.26;16.1;13.3;41524
Malta;83.78;16.8;12.2;38884
Slovenia;80.69;17.7;12.8;39746
Austria;81.58;16;12.3;53619
United Arab Emirates;78.71;15.7;12.7;62574
Spain;83.01;17.9;10.6;38354
France;82.5;15.8;11.6;45937
Cyprus;81.2;15.6;12.4;38188
Italy;82.85;16.2;10.7;42840
Estonia;77.14;15.9;13.5;38048
Czechia;77.73;16.2;12.9;38745
Greece;80.11;20;11.4;29002
Poland;76.46;16;13.2;33034
Bahrain;78.76;16.3;11;39497
Lithuania;73.72;16.3;13.5;37931
Saudi Arabia;76.94;16.1;11.3;46112
Portugal;81.04;16.9;9.6;33155
Latvia;73.58;16.2;13.3;32803
Andorra;80.37;13.3;10.6;51167
Croatia;77.58;15.1;12.2;30132
Chile;78.94;16.7;10.9;24563
Qatar;79.27;12.6;10;87134
San Marino;80.88;12.3;10.8;52654
Slovakia;74.91;14.5;12.9;30690
Hungary;74.53;15;12.2;32789
Argentina;75.39;17.9;11.1;20925
Türkiye;76.03;18.3;8.6;31033
Montenegro;76.34;15.1;12.2;20839
Kuwait;78.67;15.3;7.3;52920
Brunei Darussalam;74.64;14;9.2;64490
Russian Federation;69.42;15.8;12.8;27166
Romania;74.18;14.2;11.3;30027
Oman;72.54;14.6;11.7;27054
Bahamas;71.6;12.9;12.6;30486
Kazakhstan;69.36;15.8;12.3;23943
Trinidad and Tobago;72.97;14.5;11.6;23392
Costa Rica;77.02;16.5;8.8;19974
Uruguay;75.44;16.8;9;21269
Belarus;72.44;15.2;12.1;18849
Panama;76.22;13.1;10.5;26957
Malaysia;74.88;13.3;10.6;26658
Georgia;71.69;15.6;12.8;14664
Mauritius;73.56;15.2;10.4;22025
Serbia;74.19;14.4;11.4;19123
Thailand;78.72;15.9;8.7;17030
Albania;76.46;14.4;11.3;14131
Bulgaria;71.8;13.9;11.4;23079
Grenada;74.94;18.7;9;13484
Barbados;77.57;15.7;9.9;12306
Antigua and Barbuda;78.5;14.2;9.3;16792
Seychelles;71.29;13.9;10.3;25831
Sri Lanka;76.4;14.1;10.8;12578
Bosnia and Herzegovina;75.3;13.8;10.5;15242
Saint Kitts and Nevis;71.68;15.4;8.7;23358
Iran (Islamic Republic of);73.87;14.6;10.6;13001
Ukraine;71.62;15;11.1;13256
North Macedonia;73.84;13.6;10.2;15918
China;78.21;14.2;7.6;17504
Dominican Republic;72.61;14.5;9.3;17990
Moldova (Republic of);68.85;14.4;11.8;14875
Palau;66.02;15.8;12.5;13819
Cuba;73.68;14.4;12.5;7879
Peru;72.38;15.4;9.9;12246
Armenia;72.04;13.1;11.3;13158
Mexico;70.21;14.9;9.2;17896
Brazil;72.75;15.6;8.1;14370
Colombia;72.83;14.4;8.9;14384
Saint Vincent and the Grenadines;69.63;14.7;10.8;11961
Maldives;79.92;12.6;7.3;15448
Algeria;76.38;14.6;8.1;10800
Azerbaijan;69.37;13.5;10.5;14257
Tonga;70.99;16;11.4;6822
Turkmenistan;69.26;13.2;11.3;13021
Ecuador;73.67;14.6;8.8;10312
Mongolia;70.98;15;9.4;10588
Egypt;70.22;13.8;9.6;11732
Tunisia;73.77;15.4;7.4;10258
Fiji;67.11;14.7;10.9;9980
Suriname;70.27;13;9.8;12672
Uzbekistan;70.86;12.5;11.9;7917
Dominica;72.81;13.3;8.1;11488
Jordan;74.26;10.6;10.4;9924
Libya;71.91;12.9;7.6;15336
Paraguay;70.26;13;8.9;12349
Palestine, State of;73.47;13.4;9.9;6583
Saint Lucia;71.11;12.9;8.5;12048
Guyana;65.67;12.5;8.6;22465
South Africa;62.34;13.6;11.4;12948
Jamaica;70.5;13.4;9.2;8834
Samoa;72.77;12.4;11.4;5308
Gabon;65.82;13;9.4;13367
Lebanon;75.05;11.3;8.7;9526
Indonesia;67.57;13.7;8.6;11466
Viet Nam;73.62;13;8.4;7867
Philippines;69.27;13.1;9;8920
Botswana;61.14;12.3;10.3;16198
Bolivia (Plurinational State of);63.63;14.9;9.8;8111
Kyrgyzstan;69.98;13.2;11.4;4566
Venezuela (Bolivarian Republic of);70.55;12.8;11.1;4811
Iraq;70.38;12.1;7.9;9977
Tajikistan;71.59;11.7;11.3;4548
Belize;70.47;13;8.8;6309
Morocco;74.04;14.2;5.9;7303
El Salvador;70.75;12.7;7.2;8296
Nicaragua;73.84;12.6;7.1;5625
Bhutan;71.82;13.2;5.2;9438
Cabo Verde;74.05;12.6;6.3;6230
Bangladesh;72.38;12.4;7.4;5472
Tuvalu;64.55;9.4;10.6;6351
Marshall Islands;65.27;10.2;10.9;4620
India;67.24;11.9;6.7;6590
Ghana;63.8;12;8.3;5745
Micronesia (Federated States of);70.71;11.5;7.8;3696
Guatemala;69.24;10.6;5.7;8723
Kiribati;67.42;11.8;8;4063
Honduras;70.12;10.1;7.1;5298
Sao Tome and Principe;67.59;13.4;6.2;4021
Namibia;59.27;11.9;7.2;8634
Lao People's Democratic Republic;68.06;10.1;5.4;7700
Timor-Leste;67.74;12.6;5.4;4461
Vanuatu;70.45;11.5;7.1;3085
Nepal;68.45;12.9;5.1;3877
Eswatini (Kingdom of);57.07;13.7;5.6;7679
Equatorial Guinea;60.59;9.7;5.9;12074
Cambodia;69.58;11.5;5.1;4079
Zimbabwe;59.25;12.1;8.7;3810
Angola;61.64;12.2;5.4;5466
Myanmar;65.67;10.9;6.4;3851
Syrian Arab Republic;72.06;9.2;5.1;4192
Cameroon;60.33;13.1;6.2;3621
Kenya;61.43;10.7;6.7;4474
Congo;63.52;12.3;6.2;2889
Zambia;61.22;10.9;7.2;3218
Solomon Islands;70.35;10.3;5.7;2482
Comoros;63.42;11.9;5.1;3142
